region,Immigration
Afghanistan,9487
Albania,587
Algeria,801
Andorra,16
Angola,300
Antigua and Barbuda,5
Argentina,2980
Armenia,878
Aruba,1
Australia,12422
Austria,5715
Azerbaijan,393
Bahamas,25
Bahrain,140
Bangladesh,2199
Barbados,55
Belarus,1217
Belgium,6309
Belize,7
Benin,124
Bermuda,4
Bhutan,374
Bolivia,548
Bosnia and Herzegovina,31915
Botswana,97
Brazil,7845
Brunei,30
Bulgaria,15280
Burkina Faso,160
Burundi,501
Cambodia,240
Cameroon,1186
Canada,11101
Cabo Verde,20
Central African Republic,29
Chad,30
Chile,2010
China,31620
Colombia,3452
Comoros,26
"Congo, Dem. Rep.",805
"Congo, Rep.",503
Costa Rica,421
Croatia,3682
Cuba,651
Curacao,0
Cyprus,612
Czech Republic,6322
Djibouti,98
Dominica,15
Dominican Republic,191
Ecuador,905
Egypt,2785
El Salvador,96
Equatorial Guinea,5
Eritrea,4780
Estonia,5599
Ethiopia,4802
Faroe Islands,603
Fiji,29
Finland,11518
France,26181
Gabon,29
"Gambia, The",952
Georgia,375
Germany,69688
Greece,6439
Greenland,1016
Grenada,15
Guatemala,313
Guinea,130
Guinea-Bissau,130
Guyana,60
Haiti,130
Honduras,251
Hong Kong,247
Hungary,11465
Iceland,33827
India,26552
Indonesia,1578
Iran,16996
Iraq,17787
Ireland,4621
Israel,2617
Italy,25369
Ivory Coast,610
Jamaica,204
Japan,7758
Jordan,3123
Kazakhstan,339
Kenya,3521
Kiribati,7
Kosovo,539
Kuwait,504
Kyrgyzstan,92
Laos,76
Latvia,13336
Lebanon,13795
Lesotho,51
Liberia,163
Libya,241
Liechtenstein,44
Lithuania,30117
Luxembourg,389
Macao,1
Macedonia,2567
Madagascar,65
Malawi,227
Malaysia,2313
Maldives,23
Mali,68
Malta,268
Marshall Islands,1
Mauritania,35
Mauritius,102
Mexico,3040
Moldova,1098
Monaco,26
Mongolia,164
Montenegro,160
Morocco,4560
Mozambique,598
Myanmar,1006
Namibia,137
Nauru,5
Nepal,7109
Netherlands,18914
New Zealand,2687
Nicaragua,276
Niger,39
Nigeria,1848
North Korea,556
Norway,51925
Oman,135
Pakistan,16272
Panama,146
Papua New Guinea,18
Paraguay,187
Peru,1207
Philippines,19503
Poland,72724
Portugal,6416
Puerto Rico,1
Qatar,344
Romania,43299
Russia,11809
Rwanda,447
Samoa,10
San Marino,4
Sao Tome and Principe,1
Saudi Arabia,1018
Senegal,201
Serbia,2178
Seychelles,25
Sierra Leone,392
Singapore,3051
Slovakia,6939
Slovenia,1286
Solomon Islands,4
Somalia,14836
South Africa,1964
South Korea,4596
South Sudan,11
Spain,25154
Sri Lanka,6474
Sudan,956
Suriname,10
Swaziland,86
Sweden,46414
Switzerland,5855
Syria,35641
Tajikistan,40
Tanzania,1697
Thailand,16409
Togo,192
Tonga,21
Trinidad and Tobago,134
Tunisia,1063
Turkey,30946
Turkmenistan,22
Tuvalu,3
Uganda,3024
Ukraine,24362
United Arab Emirates,921
United Kingdom,40147
Uruguay,188
USA,65655
Uzbekistan,452
Vanuatu,5
Venezuela,928
Vietnam,8089
West bank and Gaza,0
Yemen,246
Zambia,1059
Zimbabwe,710